station,SOC provided,whether_electrified,whether_electrified
3092,1253.590685,FALSE,FALSE
3093,3684.285098,FALSE,FALSE
3094,632.0420709,FALSE,FALSE
3095,308.8067424,FALSE,FALSE
3096,1756.739451,FALSE,FALSE
3100,1123.762897,FALSE,FALSE
3101,1496.895412,FALSE,FALSE
3102,574.2506937,FALSE,FALSE
3103,696.2450551,FALSE,FALSE
3105,428.615741,FALSE,FALSE
3106,539.6458394,FALSE,FALSE
3107,1878.73862,FALSE,FALSE
3108,532.504189,FALSE,FALSE
3109,544.1835083,FALSE,FALSE
3110,1062.799838,FALSE,FALSE
3111,203.8736286,FALSE,FALSE
3112,1893.873971,FALSE,FALSE
3113,680.5141544,FALSE,FALSE
3115,971.3819722,FALSE,FALSE
3116,1269.408309,FALSE,FALSE
3117,540.8888652,FALSE,FALSE
3118,636.6807795,FALSE,FALSE
3119,1040.400021,FALSE,FALSE
3120,502.1758216,FALSE,FALSE
3121,521.2202716,FALSE,FALSE
3122,705.7291011,FALSE,FALSE
3123,244.086493,FALSE,FALSE
3124,901.3090311,FALSE,FALSE
3125,704.9198316,FALSE,FALSE
3126,890.6292727,FALSE,FALSE
3127,368.8508235,FALSE,FALSE
3128,552.2841008,FALSE,FALSE
3129,10871.89727,TRUE,TRUE
3130,734.3719711,FALSE,FALSE
3131,2061.919506,FALSE,FALSE
3132,7679.28597,TRUE,TRUE
3134,5446.828162,TRUE,TRUE
3135,1771.903839,FALSE,FALSE
3136,5313.247868,TRUE,TRUE
3137,10753.67977,TRUE,TRUE
3139,3798.681486,TRUE,TRUE
3140,5785.704615,FALSE,FALSE
3141,14081.4195,TRUE,TRUE
3142,9780.06511,TRUE,TRUE
3143,6471.060761,FALSE,FALSE
3144,951.0084119,FALSE,FALSE
3145,3622.146602,TRUE,TRUE
3146,4360.244836,TRUE,TRUE
3147,5573.448947,FALSE,FALSE
3148,4316.146546,TRUE,TRUE
3150,4906.871467,TRUE,TRUE
3151,3926.083814,TRUE,TRUE
3152,1607.148541,FALSE,FALSE
3155,3011.168183,FALSE,FALSE
3156,6751.536087,TRUE,TRUE
3157,2339.751248,TRUE,TRUE
3158,7494.42327,TRUE,TRUE
3159,5133.883039,FALSE,FALSE
3160,4806.972326,FALSE,FALSE
3161,3803.905155,FALSE,FALSE
3162,5363.848306,TRUE,TRUE
3163,9858.085801,TRUE,TRUE
3164,8137.731934,TRUE,TRUE
3165,11926.03197,TRUE,TRUE
3166,5920.109437,FALSE,FALSE
3167,9957.154609,TRUE,TRUE
3168,6792.800434,FALSE,FALSE
3169,3994.084638,FALSE,FALSE
3170,3101.297383,FALSE,FALSE
3171,5271.511584,FALSE,FALSE
3172,2514.795787,FALSE,FALSE
3173,9903.708613,TRUE,TRUE
3175,3739.259047,FALSE,FALSE
3176,4295.557542,FALSE,FALSE
3177,2953.094142,FALSE,FALSE
3178,6279.185719,TRUE,TRUE
3179,139.7394854,FALSE,FALSE
3180,1473.651598,FALSE,FALSE
3182,6178.343314,FALSE,FALSE
3183,7053.138313,TRUE,TRUE
3184,3357.930108,TRUE,TRUE
3185,2476.418296,FALSE,FALSE
3186,7294.856825,TRUE,TRUE
3187,3473.100675,FALSE,FALSE
3188,0,FALSE,FALSE
3192,2588.936097,TRUE,TRUE
3193,249.2069571,FALSE,FALSE
3194,467.5511887,FALSE,FALSE
3197,207.799553,FALSE,FALSE
3199,3671.256667,TRUE,TRUE
3201,35.58766664,FALSE,FALSE
3202,4980.084255,TRUE,TRUE
3203,7472.364034,TRUE,TRUE
3205,4130.880936,TRUE,TRUE
3211,1901.889463,TRUE,FALSE
3213,3445.931796,TRUE,TRUE
3214,2783.531148,FALSE,FALSE
3221,421.4075952,FALSE,FALSE
3223,4249.693427,FALSE,FALSE
3224,15049.82171,TRUE,TRUE
3226,4739.450698,TRUE,TRUE
3231,1624.742562,FALSE,FALSE
3232,1787.901332,FALSE,FALSE
3233,6439.786317,FALSE,FALSE
3235,4298.380002,FALSE,FALSE
3236,3994.627709,FALSE,FALSE
3238,3029.575112,FALSE,FALSE
3240,0,FALSE,FALSE
3241,579.5038662,FALSE,FALSE
3242,2960.973419,FALSE,FALSE
3243,3294.177337,FALSE,FALSE
3244,10203.83471,TRUE,TRUE
3245,35.83445668,FALSE,FALSE
3247,0,FALSE,FALSE
3249,744.2930651,FALSE,FALSE
3250,0,FALSE,FALSE
3253,0,FALSE,FALSE
3254,8747.163513,TRUE,TRUE
3255,11508.60602,FALSE,FALSE
3256,15706.86974,TRUE,TRUE
3257,47.20762308,FALSE,FALSE
3258,11109.86802,TRUE,TRUE
3259,10546.40555,TRUE,TRUE
3260,13430.44549,TRUE,TRUE
3263,17683.35059,TRUE,TRUE
3267,3719.682507,TRUE,TRUE
3273,1875.72156,FALSE,FALSE
3275,2247.673748,FALSE,FALSE
3276,4272.645953,TRUE,TRUE
3282,10883.3108,TRUE,TRUE
3283,3928.68691,TRUE,TRUE
3284,2693.491322,TRUE,TRUE
3285,5088.868814,TRUE,TRUE
3286,4217.291238,TRUE,TRUE
3288,5369.739043,TRUE,TRUE
3289,2641.626781,TRUE,TRUE
3290,4102.08906,TRUE,TRUE
3292,3678.50879,TRUE,TRUE
3293,4240.193338,TRUE,TRUE
3294,2482.403336,TRUE,TRUE
3295,5813.870355,TRUE,TRUE
3296,517.7467913,FALSE,FALSE
3297,2277.004912,TRUE,TRUE
3298,5692.320828,TRUE,TRUE
3299,0,FALSE,FALSE
3300,2090.690118,FALSE,FALSE
3301,3876.80585,FALSE,FALSE
3302,350.508193,FALSE,FALSE
3303,4260.895329,TRUE,TRUE
3304,4465.516058,TRUE,TRUE
3305,4009.467394,FALSE,FALSE
3306,3974.37082,TRUE,TRUE
3307,5478.386215,TRUE,TRUE
3308,5916.129171,TRUE,TRUE
3309,690.5254631,FALSE,FALSE
3310,4928.652093,TRUE,TRUE
3311,6138.304094,TRUE,TRUE
3312,3534.144633,TRUE,TRUE
3313,935.653072,FALSE,FALSE
3314,5352.133326,TRUE,TRUE
3315,6472.797294,TRUE,TRUE
3316,2532.205938,TRUE,TRUE
3317,1235.491624,FALSE,FALSE
3318,4837.7401,TRUE,TRUE
3319,5090.181546,TRUE,TRUE
3320,4732.182732,TRUE,TRUE
3321,4473.320198,TRUE,TRUE
3322,863.9454186,FALSE,FALSE
3323,6385.421904,TRUE,TRUE
3324,586.9030064,FALSE,FALSE
3325,2530.089668,TRUE,TRUE
3326,145.3608032,FALSE,FALSE
3327,198.5348609,FALSE,FALSE
3328,2877.024898,TRUE,TRUE
3329,4449.048865,TRUE,TRUE
3330,335.0958292,FALSE,FALSE
3331,5551.095097,TRUE,TRUE
3332,494.4397908,FALSE,FALSE
3333,73.93750664,FALSE,FALSE
3335,1822.522937,FALSE,FALSE
3336,4461.648709,TRUE,TRUE
3337,389.9188289,FALSE,FALSE
3338,861.2625288,FALSE,FALSE
3339,868.3134681,FALSE,FALSE
3340,167.8882981,FALSE,FALSE
3341,2482.669584,TRUE,TRUE
3342,168.5640617,FALSE,FALSE
3343,2040.153892,TRUE,TRUE
3344,664.3245845,FALSE,FALSE
3345,1256.749624,FALSE,FALSE
3346,6605.513543,TRUE,TRUE
3347,733.7175541,FALSE,FALSE
3348,586.8991187,FALSE,FALSE
3349,15492.13603,TRUE,TRUE
3350,3529.644512,FALSE,FALSE
3351,4007.233356,TRUE,TRUE
3352,392.1681337,FALSE,FALSE
3353,454.1900745,FALSE,FALSE
3354,2156.177548,FALSE,FALSE
3355,2578.337048,TRUE,TRUE
3356,3377.364558,TRUE,TRUE
3357,2798.719423,TRUE,TRUE
3358,3855.058557,TRUE,TRUE
3359,2222.918106,TRUE,TRUE
3360,6711.883607,TRUE,TRUE
3361,4418.537218,TRUE,TRUE
3362,4863.306088,TRUE,TRUE
